cpu_util,mem_util,gpu_util0,gmem_util0
3.1,8.7,55,19.89
2.9,8.7,53,19.89
3.5,8.7,53,19.89
2.7,8.7,53,19.89
3.5,8.7,53,19.89
3.7,8.7,53,19.89
3.5,8.7,55,19.89
3.1,8.7,55,19.89
3.7,8.7,55,19.89
2.9,8.7,54,19.89
3.1,8.7,54,19.89
3.3,8.7,54,19.89
2.7,8.7,54,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
2.9,8.7,50,19.89
3.3,8.7,50,19.89
2.9,8.7,48,19.89
3.3,8.7,48,19.89
3.5,8.7,48,19.89
3.1,8.7,47,19.89
2.7,8.7,47,19.89
3.1,8.7,46,19.89
2.9,8.7,46,19.89
2.9,8.7,51,19.89
2.9,8.7,51,19.89
2.9,8.7,51,19.89
2.9,8.7,52,19.89
3.5,8.7,52,19.89
2.7,8.7,48,19.89
2.9,8.7,48,19.89
2.5,8.7,48,19.89
2.9,8.7,42,19.89
2.7,8.7,42,19.89
3.1,8.7,44,19.89
2.9,8.7,44,19.89
2.9,8.7,44,19.89
2.7,8.7,44,19.89
2.5,8.7,44,19.89
7.0,7.5,37,19.89
2.7,7.7,37,19.89
45.1,7.8,0,19.89
2.1,7.8,0,19.89
2.3,7.8,0,19.89
2.5,7.8,0,19.89
2.3,7.9,0,19.89
78.0,8.0,0,19.89
2.1,8.1,0,19.89
67.4,8.1,0,19.89
2.5,8.1,0,19.89
2.3,8.1,0,19.89
2.1,8.3,0,19.89
2.9,8.4,0,19.89
2.1,8.4,0,19.89
1.7,8.4,0,19.89
9.4,8.4,0,19.89
2.1,8.6,0,19.89
17.9,8.7,0,19.89
2.7,8.7,0,19.89
2.1,8.7,0,19.89
2.3,8.7,0,19.89
2.9,8.7,0,19.89
2.9,8.7,0,19.89
2.9,8.7,42,19.89
3.1,8.7,42,19.89
2.5,8.7,42,19.89
2.7,8.7,41,19.89
3.1,8.7,41,19.89
2.7,8.7,42,19.89
2.9,8.7,42,19.89
3.5,8.7,44,19.89
3.1,8.7,44,19.89
3.1,8.7,44,19.89
3.1,8.7,46,19.89
3.3,8.7,46,19.89
2.9,8.7,45,19.89
3.3,8.7,45,19.89
2.9,8.7,45,19.89
2.9,8.7,44,19.89
3.5,8.7,44,19.89
2.7,8.7,45,19.89
3.1,8.7,45,19.89
3.1,8.7,48,19.89
2.7,8.7,48,19.89
2.7,8.7,48,19.89
2.9,8.7,45,19.89
3.1,8.7,45,19.89
3.1,8.7,48,19.89
3.7,8.7,48,19.89
2.9,8.7,48,19.89
3.3,8.7,51,19.89
3.5,8.7,51,19.89
3.1,8.7,51,19.89
3.1,8.7,51,19.89
3.1,8.7,53,19.89
2.9,8.7,53,19.89
3.1,8.7,53,19.89
2.9,8.7,53,19.89
2.7,8.7,53,19.89
3.5,8.7,50,19.89
3.1,8.7,50,19.89
2.5,8.7,50,19.89
2.7,8.7,50,19.89
3.1,8.7,50,19.89
3.1,8.7,43,19.89
3.1,8.7,43,19.89
3.5,8.7,44,19.89
2.7,8.7,44,19.89
3.3,8.7,44,19.89
2.9,8.7,44,19.89
2.9,8.7,44,19.89
3.3,8.7,46,19.89
3.1,8.7,46,19.89
2.9,8.7,46,19.89
3.1,8.7,46,19.89
2.9,8.7,46,19.89
3.1,8.7,47,19.89
3.5,8.7,47,19.89
3.5,8.7,47,19.89
2.9,8.7,52,19.89
2.7,8.7,52,19.89
3.5,8.7,49,19.89
2.7,8.7,49,19.89
3.1,8.7,50,19.89
3.1,8.7,50,19.89
2.9,8.7,50,19.89
3.3,8.7,43,19.89
2.9,8.7,43,19.89
3.1,8.7,42,19.89
3.3,8.7,42,19.89
2.9,8.7,42,19.89
2.9,8.7,44,19.89
2.9,8.7,44,19.89
3.1,8.7,44,19.89
2.9,8.7,44,19.89
3.7,8.7,44,19.89
2.9,8.7,44,19.89
3.1,8.7,44,19.89
3.1,8.7,44,19.89
3.1,8.7,44,19.89
2.7,8.7,45,19.89
2.9,8.7,45,19.89
2.9,8.7,45,19.89
2.7,8.7,45,19.89
2.9,8.7,45,19.89
2.7,8.7,45,19.89
2.5,8.7,45,19.89
2.9,8.7,45,19.89
3.1,8.7,45,19.89
2.9,8.7,45,19.89
3.5,8.7,46,19.89
3.1,8.7,46,19.89
3.1,8.7,48,19.89
3.3,8.7,48,19.89
2.7,8.7,48,19.89
2.9,8.7,47,19.89
3.1,8.7,47,19.89
3.1,8.7,49,19.89
2.7,8.7,49,19.89
4.1,8.7,49,19.89
2.9,8.7,54,19.89
3.3,8.7,54,19.89
2.7,8.7,54,19.89
3.1,8.7,54,19.89
3.1,8.7,52,19.89
3.1,8.7,52,19.89
3.5,8.7,52,19.89
3.1,8.7,52,19.89
2.9,8.7,52,19.89
3.1,8.7,51,19.89
2.7,8.7,51,19.89
2.9,8.7,51,19.89
4.4,8.7,53,19.89
2.9,8.7,53,19.89
2.7,8.7,52,19.89
3.5,8.7,52,19.89
3.5,8.7,52,19.89
3.3,8.7,54,19.89
3.3,8.7,54,19.89
3.1,8.7,55,19.89
2.9,8.7,55,19.89
3.3,8.7,54,19.89
2.9,8.7,54,19.89
3.3,8.7,54,19.89
3.3,8.7,55,19.89
