cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
57.4,11.7,19,12.81,46,12.74,0,1.27,88,12.76
57.8,12.9,78,12.81,86,12.74,0,1.27,88,12.76
22.4,13.3,81,12.81,90,12.74,1,1.27,0,12.76
15.9,12.0,53,12.81,86,12.74,0,1.27,0,12.76
57.4,12.7,48,12.81,62,12.74,0,1.27,0,12.76
14.4,13.6,70,12.81,35,12.74,0,1.27,68,12.76
23.3,13.7,0,1.27,61,12.74,0,1.27,31,12.76
74.5,12.1,0,1.27,86,12.74,4,2.96,73,12.76
6.6,13.5,2,5.98,86,12.74,6,9.51,80,12.76
55.8,14.7,0,10.14,56,12.74,88,16.52,71,12.76
56.0,16.0,0,10.14,78,12.74,92,16.52,22,12.76
57.5,15.0,0,12.75,68,12.74,24,16.52,95,12.76
8.2,16.2,81,12.75,71,12.74,21,16.52,21,12.76
57.5,15.0,25,12.75,78,12.74,95,16.52,91,12.76
17.6,15.4,83,12.75,60,12.74,65,16.52,37,12.76
30.2,15.0,63,12.75,84,12.74,96,16.52,94,12.76
55.1,16.1,73,12.75,86,12.74,97,16.52,16,12.76
59.2,15.0,38,12.75,59,12.74,87,16.52,19,12.76
57.4,15.0,66,12.75,15,12.74,96,16.52,66,12.76
15.2,15.4,84,12.75,26,12.74,27,16.52,29,12.76
59.8,15.0,22,12.75,70,12.74,54,16.52,96,12.76
7.7,15.8,88,12.75,80,12.74,50,16.52,12,12.76
57.2,14.4,20,12.75,0,12.74,74,16.52,31,12.76
56.5,15.4,72,12.75,0,12.74,97,16.52,33,12.76
56.1,14.8,36,12.75,0,12.74,28,16.52,48,12.76
14.1,15.0,18,12.75,79,12.74,97,16.52,0,12.76
56.0,15.4,91,12.75,88,12.74,98,16.52,0,12.76
57.8,14.8,31,12.75,30,12.74,60,16.52,0,12.76
57.3,14.9,33,12.75,27,12.74,73,16.52,67,12.76
8.4,16.2,96,12.75,80,12.74,22,16.52,20,12.76
57.9,15.0,15,12.75,50,12.74,19,16.52,29,12.76
38.0,15.0,0,12.75,87,12.74,98,16.52,75,12.76
41.0,15.2,0,12.75,25,12.74,0,1.27,24,12.76
86.0,11.5,0,12.75,40,12.74,0,1.27,25,12.76
27.5,11.9,83,12.75,78,12.74,0,1.27,10,12.76
58.2,11.9,44,12.75,45,12.74,0,1.27,36,12.76
43.6,11.9,79,12.75,36,12.74,0,1.27,87,12.76
57.7,12.6,77,12.75,71,12.74,4,6.94,81,12.76
12.0,13.6,62,12.75,76,12.74,85,13.77,79,12.76
52.9,13.2,71,12.75,92,12.74,77,13.77,21,12.76
7.6,13.3,78,12.75,88,12.74,81,13.77,85,12.76
31.0,15.5,96,12.75,81,12.74,80,13.77,78,12.76
8.2,14.4,96,12.75,80,12.74,63,13.77,96,12.76
7.8,13.6,86,12.75,87,12.74,72,13.77,88,12.76
17.4,13.6,80,12.75,17,12.74,89,13.77,68,12.76
15.5,13.6,80,12.75,85,12.74,89,13.77,75,12.76
8.1,13.5,77,12.75,80,12.74,81,13.77,33,1.27
23.0,11.2,69,12.75,91,12.74,76,13.77,0,1.27
40.9,11.6,79,12.75,93,12.74,88,13.77,2,3.36
52.9,10.3,0,1.27,88,12.74,89,13.77,2,9.39
4.9,10.6,0,1.27,92,12.74,72,13.77,34,9.39
5.8,10.9,0,1.27,88,12.74,83,13.77,26,9.39
11.7,10.9,4,3.92,89,12.74,85,13.77,27,9.39
55.5,13.0,0,10.97,89,12.74,83,13.77,32,9.39
54.1,12.4,79,10.97,0,1.27,88,13.77,23,9.39
21.8,12.1,79,10.97,0,1.27,84,13.77,21,9.39
19.3,11.8,65,10.97,0,1.27,87,13.77,24,9.39
5.4,11.4,79,10.97,0,1.27,88,13.77,36,9.39
54.0,11.5,76,10.97,0,1.27,86,13.77,24,9.39
14.0,11.6,70,10.97,0,1.27,89,13.77,21,9.39
14.8,13.4,69,10.97,1,1.27,89,13.77,33,9.39
17.7,12.9,71,10.97,0,1.27,85,13.77,28,9.39
54.6,13.0,18,10.97,5,7.54,89,13.77,19,9.39
26.3,13.7,76,10.97,98,16.52,87,13.77,2,9.39
24.8,13.5,76,10.97,97,16.52,89,13.77,26,9.39
47.7,15.4,61,10.97,98,16.52,70,13.77,35,9.39
5.3,13.6,69,10.97,97,16.52,81,13.77,30,9.39
18.8,13.7,61,10.97,15,16.52,89,13.77,19,9.39
26.5,13.5,68,10.97,89,16.52,89,13.77,30,9.39
5.2,13.8,66,10.97,93,16.52,89,13.77,29,9.39
49.9,13.3,54,10.97,93,16.52,89,13.77,31,9.39
34.3,13.3,56,10.97,98,16.52,89,13.77,28,9.39
37.5,13.6,65,10.97,98,16.52,89,13.77,19,9.39
52.9,14.1,69,10.97,98,16.52,73,13.77,32,9.39
54.1,13.9,78,10.97,0,1.27,79,13.77,29,9.39
16.5,12.1,80,10.97,0,1.27,0,1.27,29,9.39
3.9,10.1,79,10.97,1,3.02,0,1.27,30,9.39
4.1,10.6,79,10.97,2,9.34,0,1.27,33,9.39
7.3,11.1,50,10.97,8,9.34,0,1.27,28,9.39
48.6,10.8,72,10.97,7,9.34,0,5.18,29,9.39
32.0,12.5,72,10.97,6,9.34,0,10.77,31,9.39
51.5,12.8,76,10.97,1,9.34,0,10.77,30,9.39
39.5,13.3,71,10.97,10,9.34,0,10.77,30,9.39
52.5,13.9,73,10.97,8,9.34,67,12.88,25,9.39
23.8,13.3,78,10.97,8,9.34,63,12.88,31,9.39
6.7,13.3,74,10.97,7,9.34,74,12.88,34,9.39
6.9,13.3,76,10.97,6,9.34,59,12.88,34,9.39
8.4,13.2,79,10.97,0,1.27,62,12.88,36,9.39
5.0,10.0,0,1.27,0,1.27,82,12.88,33,9.39
26.2,9.1,0,1.27,0,1.27,28,12.88,22,9.39
8.0,11.0,0,1.27,6,3.11,0,12.88,24,9.39
5.2,12.1,3,6.95,4,10.14,0,12.88,20,9.39
4.8,13.4,0,10.14,0,10.14,0,12.88,19,9.39
4.8,13.9,0,10.14,0,10.14,90,12.88,28,9.39
12.4,13.5,2,13.01,78,13.01,32,12.88,27,9.39
15.9,14.4,86,13.01,89,13.01,52,12.88,22,9.39
16.2,14.7,92,13.01,84,13.01,70,12.88,20,9.39
13.0,14.3,0,13.03,0,13.03,29,12.88,25,9.39
6.7,13.8,0,13.03,0,13.03,90,12.88,35,9.39
12.6,13.0,0,13.03,0,13.03,55,12.88,35,9.39
15.8,14.0,73,13.03,80,13.03,85,12.88,0,1.27
13.0,12.1,89,13.03,82,13.03,0,12.88,0,1.27
38.5,12.5,98,13.03,0,13.03,0,12.88,0,1.27
34.9,12.9,0,13.03,0,13.03,0,12.88,0,1.27
80.3,13.7,0,13.03,0,13.03,48,12.88,3,6.98
43.6,14.6,0,13.03,94,13.03,31,12.88,0,9.88
15.9,14.5,97,13.03,86,13.03,36,12.88,0,9.88
15.4,14.8,88,13.03,75,13.03,71,12.88,0,9.88
30.6,13.2,0,13.03,0,13.03,89,12.88,80,12.79
47.9,13.2,0,13.03,0,13.03,61,12.88,92,12.79
23.7,13.8,0,13.03,0,13.03,70,12.88,87,12.79
66.6,14.5,75,13.03,73,13.03,0,12.88,87,12.79
56.9,13.7,87,13.03,82,13.03,0,12.88,95,12.79
30.6,13.8,0,13.03,0,13.03,0,12.88,96,12.79
43.9,13.0,0,13.03,0,13.03,28,12.88,76,12.79
8.4,14.6,0,13.03,0,13.03,34,12.88,82,12.79
17.5,15.0,89,13.03,89,13.03,22,12.88,74,12.79
16.7,15.0,85,13.03,48,13.03,38,12.88,92,12.79
16.4,15.0,81,13.03,72,13.03,74,12.88,91,12.79
21.5,12.9,0,13.03,0,13.03,28,12.88,83,12.79
8.2,14.4,0,13.03,0,13.03,52,12.88,76,12.79
7.6,14.9,0,13.03,0,13.03,10,12.88,75,12.79
16.7,15.0,89,13.03,72,13.03,0,12.88,69,12.79
