cpu_util,mem_util,gpu_util0,gmem_util0,gpu_util1,gmem_util1,gpu_util2,gmem_util2,gpu_util3,gmem_util3
72.9,41.5,98,33.18,100,48.05,100,53.19,100,57.53
24.2,43.7,100,36.82,100,48.05,100,53.19,100,57.53
69.5,43.9,99,37.58,100,48.05,100,53.19,100,57.53
96.2,44.2,100,37.58,100,48.05,98,53.19,100,57.53
72.1,41.3,100,38.15,99,34.77,100,53.19,100,57.53
72.7,40.3,99,38.15,100,34.77,100,53.19,100,47.83
73.5,41.1,100,38.15,100,34.77,99,53.19,100,47.83
24.9,38.4,99,26.02,100,34.77,100,53.19,100,55.05
74.0,41.1,99,36.87,100,34.77,100,53.19,100,61.88
26.2,44.6,100,39.67,97,34.77,100,53.19,98,62.53
24.1,42.6,95,44.12,98,21.53,100,53.19,100,62.53
98.5,45.8,100,46.88,92,21.53,100,53.19,100,64.07
41.6,45.0,100,48.42,95,24.41,100,53.19,100,64.07
49.3,46.6,100,49.24,97,28.26,100,53.19,100,64.07
46.7,47.6,100,49.24,98,28.74,100,53.19,100,64.07
74.3,49.1,100,49.24,99,28.74,100,53.19,100,64.07
63.6,47.6,100,50.78,100,29.56,100,53.19,99,57.49
81.5,46.1,100,50.78,100,29.56,99,53.19,100,57.49
85.2,46.3,100,50.78,85,29.56,100,53.19,100,57.49
72.2,46.5,100,50.78,100,29.56,100,53.19,100,57.49
26.8,46.7,100,50.78,98,29.56,100,53.19,100,57.49
79.8,45.4,100,50.78,100,29.56,100,53.19,100,57.49
27.0,46.9,100,50.78,100,29.56,100,53.19,100,57.49
35.1,46.8,100,50.78,100,29.56,100,53.19,100,57.49
40.6,47.1,100,50.78,100,29.56,99,53.19,100,57.49
41.7,46.5,100,50.78,99,29.56,100,53.19,100,57.49
72.6,45.5,100,50.78,100,29.56,100,53.19,100,57.49
71.2,47.0,100,50.78,100,29.56,99,53.19,100,57.49
82.4,46.3,100,50.78,100,29.56,100,53.19,100,57.49
90.9,48.4,100,50.78,100,29.56,100,53.19,100,57.49
48.5,46.7,100,50.78,98,29.49,99,53.19,100,57.49
72.0,44.9,100,50.78,90,18.46,100,53.19,99,57.49
75.4,44.2,100,50.78,81,18.46,100,53.19,100,57.49
74.1,44.3,100,50.78,94,18.46,100,53.19,100,57.49
77.7,45.9,100,50.78,38,24.09,100,45.03,100,57.49
43.4,43.9,100,50.78,99,28.17,100,45.03,100,57.49
